category,cluster_color_hex,cluster_color_en,ratio
Home-Garden,#AD1E19,cluster_8,0.07114428566219425
Home-Garden,#215C6D,cluster_10,0.06266445998318669
Home-Garden,#58811D,cluster_1,0.04726965273037418
Home-Garden,#FADAB6,cluster_20,0.04324435847166737
Home-Garden,#EF806C,cluster_2,0.03040841140604081
Home-Garden,#DD7C16,cluster_19,0.02580084864627507
Home-Garden,#90F118,cluster_9,0.007293344485075305
Home-Garden,#FFD300,cluster_13,0.0066593845567042564
Home-Garden,#4184EF,cluster_22,0.006651252649110909
Home-Garden,#E3148C,cluster_12,0.0053399725841106575
Home-Garden,#6F0C89,cluster_14,0.0050498548220303625
Home-Garden,#E97ED5,cluster_16,0.004054951804047257
Home-Garden,#24D536,cluster_23,0.0035210462289080773
Home-Garden,#43CCBC,cluster_6,0.0033128554427161476
Home-Garden,#8F45D8,cluster_5,0.0029908578125094837
Home-Garden,#00E2F3,cluster_11,0.0024192624401668246
Home-Garden,#0000B5,cluster_7,0.0008173663344347253
Home-Garden,#FF00FF,cluster_15,0.00012103188446225555
Home-Garden,#00FC8C,cluster_17,0.0001197662566873106
Humour,#F7F5EB,cluster_4,0.2749799766200545
Humour,#004C00,cluster_21,0.11913152228764393
Humour,#6D808C,cluster_3,0.09743971358612567
Humour,#AD1E19,cluster_8,0.08168175749505843
Humour,#AFD5DE,cluster_0,0.07978036431641275
Humour,#B0BD90,cluster_18,0.0755147169760105
Humour,#215C6D,cluster_10,0.06321318370786214
Humour,#FADAB6,cluster_20,0.04158799431824014
Humour,#DD7C16,cluster_19,0.0331880792593866
Humour,#EF806C,cluster_2,0.03137692385865712
Humour,#FFD300,cluster_13,0.024415662897098487
Humour,#58811D,cluster_1,0.01996740672006203
Humour,#00E2F3,cluster_11,0.009909871527328667
Humour,#4184EF,cluster_22,0.009869075071614214
Humour,#E3148C,cluster_12,0.00922366620274918
Humour,#43CCBC,cluster_6,0.007617783207553049
Humour,#6F0C89,cluster_14,0.0060626215030397486
Humour,#24D536,cluster_23,0.0043023499286732395
Humour,#90F118,cluster_9,0.0037495254466063913
Humour,#E97ED5,cluster_16,0.003682682648149944
Humour,#8F45D8,cluster_5,0.00301883613806934
Humour,#00FC8C,cluster_17,0.00012074369338196536
Humour,#FF00FF,cluster_15,0.0001149330428170584
Humour,#0000B5,cluster_7,5.060954740273864e-05
Medical,#F7F5EB,cluster_4,0.3182968716729293
Medical,#215C6D,cluster_10,0.08692539441850954
Medical,#6D808C,cluster_3,0.08591790821272331
Medical,#004C00,cluster_21,0.0809580017568198
Medical,#AFD5DE,cluster_0,0.07839335921902094
Medical,#B0BD90,cluster_18,0.0673032857634529
Medical,#AD1E19,cluster_8,0.0644110849899764
Medical,#FADAB6,cluster_20,0.03401023316285336
Medical,#DD7C16,cluster_19,0.02820648329208622
Medical,#EF806C,cluster_2,0.027223222884227995
Medical,#4184EF,cluster_22,0.024123229595551587
Medical,#58811D,cluster_1,0.022806069225838645
Medical,#FFD300,cluster_13,0.017681399068812453
Medical,#6F0C89,cluster_14,0.011641409799659427
Medical,#90F118,cluster_9,0.009127430383246477
Medical,#43CCBC,cluster_6,0.008538700070948573
Medical,#00E2F3,cluster_11,0.007039225171935008
Medical,#8F45D8,cluster_5,0.006680069386563015
